Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	Marginal.P	PS
DropViz_SN_level2	Neuron_Slc17a6_Cacna2d1.3_10	1008	15085	0.014298	0.037648	0.008202	0.040653	0.0010983	0.470015632960456
DropViz_SN_level2	Neuron_Slc17a6.2_1	1009	15085	0.022038	0.061525	0.006489	0.00034251	1.5379e-05	0.719982334362986
DropViz_SN_level2	Neuron_Slc17a6_Nkx6-1.3_12	1009	15085	0.014051	0.038346	0.0073627	0.028177	0.0010375	0.519470197426386
DropViz_SN_level2	Neuron_Slc17a6.2_1	1010	15085	0.022634	0.063186	0.0065354	0.00026766	1.5379e-05	0.742232112530799
DropViz_SN_level2	Neuron_Gad1Gad2_Sema3e.3_13	1010	15085	0.011532	0.031032	0.0077215	0.067671	0.0029	0.460906558540962
DropViz_SN_level2	Neuron_Slc17a6.2_1	1011	15085	0.023199	0.064765	0.0065037	0.00018109	1.5379e-05	0.777487975794839
DropViz_SN_level2	Neuron_Gad1Gad2_Ttn.3_14	1011	15085	0.0098276	0.026842	0.0076362	0.099061	0.0060101	0.452068352855904
DropViz_SN_level2	Neuron_Slc17a6.2_1	1012	15085	0.022709	0.063396	0.0065078	0.00024275	1.5379e-05	0.751046490520498
DropViz_SN_level2	Neuron_Slc17a6_C1ql2.3_15	1012	15085	0.011425	0.030595	0.0075139	0.064205	0.0030666	0.474440302021202
DropViz_SN_level2	Neuron_Slc17a6.2_1	1013	15085	0.023195	0.064753	0.0064653	0.00016746	1.5379e-05	0.784548618673845
DropViz_SN_level2	Neuron_Gad1Gad2_Gad2-Kcnc3.3_16	1013	15085	0.0084706	0.023347	0.0061541	0.084356	0.0057068	0.478641694183844
DropViz_SN_level2	Neuron_Slc17a6.2_1	1014	15085	0.023215	0.064809	0.00651	0.00018179	1.5379e-05	0.777139856974571
DropViz_SN_level2	Neuron_Gad1Gad2_Pax5.3_18	1014	15085	0.0095597	0.025545	0.007549	0.10271	0.0061662	0.447237622286766
DropViz_SN_level2	Neuron_Slc17a6.2_1	1015	15085	0.023385	0.065284	0.0064049	0.00013101	1.5379e-05	0.806698015644911
DropViz_SN_level2	Neuron_Gad1Gad2_Tmem132c.3_19	1015	15085	0.0083474	0.023517	0.0057834	0.074474	0.006651	0.51811517938533
DropViz_SN_level2	Neuron_Slc17a6.2_1	1016	15085	0.020291	0.056647	0.0065812	0.0010259	1.5379e-05	0.62099528749623
DropViz_SN_level2	Neuron_Gad1Gad2_Gad2.3_3	1016	15085	0.020945	0.055697	0.0085807	0.0073297	0.00010035	0.533930993727423
DropViz_SN_level2	Neuron_Slc17a6.2_1	1017	15085	0.023832	0.066532	0.0063669	9.1236e-05	1.5379e-05	0.839346231435444
