Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
DropViz_GP_level2	Neuron_Gad1Gad2_Tac2.2_3	15078	-0.0019914	-0.0053219	0.0075568	0.60393	1	1
DropViz_GP_level2	Polydendrocyte_Tnr_Pdgfa-Pik3r3.4_1	15078	-0.0018128	-0.005064	0.0053658	0.63226	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Vip.2_21	15078	-0.0021472	-0.0060541	0.0060371	0.63895	1	1
DropViz_GP_level2	Astrocyte_Gja1_Gfap.5_1	15078	-0.0021359	-0.0055731	0.0058444	0.64261	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Grem.2_13	15078	-0.002676	-0.0073039	0.0072607	0.64377	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Vipr2.3_10	15078	-0.0016704	-0.00499	0.0042664	0.65229	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Elfn1-Grik3.2_17	15078	-0.0026904	-0.0073808	0.0068375	0.65301	1	1
DropViz_GP_level2	Oligodendrocyte_Trf_Il33.10_5	15078	-0.0026605	-0.0070716	0.0060155	0.67085	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Hpcal4.2_4	15078	-0.0034663	-0.0092803	0.0074756	0.67856	1	1
DropViz_GP_level2	Polydendrocyte_Tnr_Opalin.4_3	15078	-0.0021578	-0.0060888	0.0042866	0.69265	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Drd1-Pde1c.3_5	15078	-0.0038505	-0.010612	0.0067237	0.71656	1	1
DropViz_GP_level2	Polydendrocyte_Tnr_Bmp4.4_4	15078	-0.0033499	-0.0093444	0.0057487	0.71995	1	1
DropViz_GP_level2	Neuron_Slc17a7_Neurod2-C1ql3.2_12	15078	-0.0031967	-0.0090997	0.0049608	0.74033	1	1
DropViz_GP_level2	Polydendrocyte_Tnr_Cspg5.4_5	15078	-0.0043637	-0.011981	0.0062739	0.75663	1	1
DropViz_GP_level2	Mural_Rgs5Acta2_Rgs5.8_4	15078	-0.0032326	-0.0088359	0.0046235	0.75777	1	1
DropViz_GP_level2	Mural_Rgs5Acta2_Pappa2.8_5	15078	-0.0018505	-0.0058177	0.0026048	0.76127	1	1
DropViz_GP_level2	Neuron_Slc17a7_Neurod2-Rorb.2_11	15078	-0.0049092	-0.013761	0.0056999	0.80545	1	1
DropViz_GP_level2	Neuron_Gad1Gad2_Sst.2_5	15078	-0.0062674	-0.01722	0.0069976	0.81478	1	1
DropViz_GP_level2	Mural_Rgs5Acta2_Acta2.8_1	15078	-0.0040853	-0.011083	0.0045139	0.81727	1	1
